document_id,clean_text,sentiment
doc_011,"Everywhere across the globe, banks are increasingly viewing artificial intelligence as a revolutionary force that is likely to transform fraud detection, customer service automation, targeted financial advisory services, and risk management operations. Even with huge investments in AI technologies, many banking organizations face great challenges in deploying machine learning systems at scale in production environments. The main constraint often arises not from algorithmic constraints or lack of data science talent but from substandard technological infrastructure unable to accommodate the scale of modern AI workloads. Legacy banking platforms built many years ago run on batch-processing architectures that are inherently incompatible with real-time data streaming demands necessary for today's machine learning use cases. Mainframe environments using inflexible data schemas cannot support heterogeneous unstructured data sources required for training advanced neural networks, while limitations of aging hardware constrain the computation of intricate algorithms at the enterprise level. Data fragmentation within departmental silos hinders accessibility, undermining model precision and predictive power. Infrastructure modernization is an unavoidable requirement for the effective implementation of AI, involving the adoption of cloud computing for computational elasticity, containerization technologies for standardized deployment across environments, single unified data platforms tying together dissimilar information sources, and compliance-aware architectures meeting very stringent regulatory requirements. Banking organizations are required to address systematic infrastructure constraints through in-depth transformation programs combining technical upgrades with organizational change management, skills development initiatives, and cross-functional collaboration models. Only by conscious infrastructure development can financial services companies release the full transformative power of artificial intelligence and realize enduring competitive gains in ever more digital banking environments.",negative
doc_012,"Communities of practice operate by developing, sharing, and formalizing concepts together collective meaning-making thereby enabling all their community members to work together effectively. In the context of Wikipedia, these concepts include article quality, vandalism, and other subjective aspects of collective work. AI and machine learning have proven to be powerful tools for facilitating collaboration at scale by modeling and applying shared concepts. We examine meaning-making in parallel with aligning AI behavior. We describe a case study of modeling the quality of articles in Dutch Wikipedia using an AI model, while engaging in a meaning-making process with Dutch Wikipedians. This case blurs the line between social governance and how meaning is reshaped in an AI model. Based on the case study, we present the Collective Meaning Cycle, a framework that describes the bidirectional relationship between modeling and meaning-making. We also provide implications for the practice of participatory AI design.",neutral
doc_013,"The use of data driven automation is not new, but it has gain a lot of attention recently with the wide-spread understanding that it is the solution to all problems in terms of fair and non-bias classification. This is not different in the law area, where artificial intelligence became a magic word . However, using historic data is a very tricky job which can quite easily propagate discrimination in a very efficient way. Thus, this work is aimed to analyse data from legal proceedings looking for evidence related to the occurrence of bias in the judges' decision-making process, considering mainly the gender or social condition of the convicts. Supervised and unsupervised machine learning techniques, preceded by data analysis and processing procedures, were used to explain and find explicit data behaviour. Our results pointed to the fragility of the techniques to identify biases but suggest the need to improve data pre-processing and the search for more robust classification techniques.",negative
doc_014,"At the end of 2019, the World Health Organization (WHO) referred that the Public Health Commission of Hubei Province, China, reported cases of severe and unknown pneumonia. A new coronavirus, SARS-CoV-2, was identified as responsible for the lung infection, called COVID-19 (coronavirus disease 2019). An early diagnosis of those carrying the virus becomes crucial to contain the spread, morbidity and mortality of the pandemic. The definitive diagnosis is made through specific tests, among which imaging tests play a very important role. Achieving this goal cannot be separated from radiological examination, and chest X-ray is the most easily available and least expensive alternative. The use of X-ray chest radiographs, as an element that assists the diagnosis and that allows the follow up of the disease, is the subject of many publications that adopt machine learning approaches. This work focuses on the most adopted Convolutional Neural Network Techniques applied on chest X-ray images.",positive
doc_015,"In the last decade, deep learning algorithms have become very popular thanks to the achieved performance in many machine learning and computer vision tasks. However, most of the deep learning architectures are vulnerable to so called adversarial examples. This questions the security of deep neural networks (DNN) for many security- and trust-sensitive domains. The majority of the proposed existing adversarial attacks are based on the differentiability of the DNN cost function.Defence strategies are mostly based on machine learning and signal processing principles that either try to detect-reject or filter out the adversarial perturbations and completely neglect the classical cryptographic component in the defence. In this work, we propose a new defence mechanism based on the second Kerckhoffs's cryptographic principle which states that the defence and classification algorithm are supposed to be known, but not the key. To be compliant with the assumption that the attacker does not have access to the secret key, we will primarily focus on a gray-box scenario and do not address a white-box one. More particularly, we assume that the attacker does not have direct access to the secret block, but (a) he completely knows the system architecture, (b) he has access to the data used for training and testing and (c) he can observe the output of the classifier for each given input. We show empirically that our system is efficient against most famous state-of-the-art attacks in black-box and gray-box scenarios.",neutral
doc_016,"In biomaterials development, creating materials with desirable properties can be a time consuming and resource intensive process, often relying on serendipitous discoveries. A potential route to accelerate this process is to employ artificial intelligence methodologies such as machine learning (ML). Herein, the possibility to predict anti inflammatory properties of the polymers by using a simplified model of inflammation and a restrained dataset is explored. Cellular assays with 50 different polymers are conducted using the murine macrophage cell line RAW 264.7 as a model. These experiments generate a dataset which is used to develop a ML model based on Bayesian logistic regression. After conducting a Bayesian logistic regression analysis, two ML models, K nearest neighbors (KNN) and Na ve Bayes, are employed to predict anti inflammatory polymers properties. The study finds that the probability of a polymer having anti inflammatory properties is multiplied by three if it is a polycation, and that nitric oxide secretion is a good indicator in determining the anti inflammatory properties of a polymer, which in this work are defined by tumor necrosis factor alpha expression decrease. Overall, the study suggests that with appropriate dataset design, ML techniques can provide valuable information on functional polymer properties, enabling faster and more efficient biomaterial development.",positive
doc_017,"Existem diversas problem ticas atualmente que influenciam no dia a dia do ser humano dentro da sociedade, as principais e mais graves se referem as mudan as clim ticas e desastres naturais que fogem do controle e acabam causando danos que demoram um longo per odo para se normalizar. O problema de queimadas no brasil recorrente devido localiza o geogr fica do pa s, por m, em 2024 o cen rio se agravou e foram queimados mais de 22 milh es de hectares, 11 milh es de hectares a mais do que 2023, fazendo com que a sociedade voltasse suas aten es para este problema, gerando discuss es em prol de melhorias. Atrav s da tecnologia, poss vel prever e reduzir um poss vel agravamento de situa es que podem ter um potencial muito grande de devasta o, e com este trabalho, al m de discutir o problema, ser poss vel visualizar o uso de intelig ncia artificial voltado para este cen rio t o importante no pa s. Atrav s do aprendizado de m quina, poss vel identificar focos de queimadas em fotos, fazendo com que o monitoramento seja aprimorado e que ocorra a alarmes para uma situa o que pode ser evitada. Ao final do trabalho, o leitor estar por dentro do cen rio atual de queimadas do pa s e tamb m entender as diferentes formas de se aplicar o aprendizado de m quina, especialmente no cen rio de identifica o de imagens utilizando YOLO.",positive
doc_018,"Nowadays, many platforms provide open educational resources to learners. So, they must browse and explore several suggested contents to better assimilate their courses. To facilitate the selecting task of these resources, the present paper proposes an intelligent tutoring system that can access teaching contents available on the web automatically and offers them to learners as additional information sources. In doing so, the authors highlight the description logic approach and its knowledge representation strength that underwrites the modulization, inference, and querying about a web ontology language, and enhanced traditional tutoring systems architecture using ontologies and description logic to enable them to access various data sources on the web. Finally, this article concludes that the combination of machine learning with the semantic web has provided a supportive study environment and enhanced the schooling conditions within open and distance learning.",positive
doc_019,"Background Gliomas are common primary malignant brain tumors, with glioblastoma (GBM) being the most aggressive subtype. GBM is characterized by high recurrence rates and treatment resistance, leading to poor patient outcomes. Current prognostic models have limited predictive power, underscoring the need to elucidate underlying mechanisms and identify novel biomarkers to improve therapeutic strategies and prognostic models. Methods Gene expression and clinical data for GBM and LGG were obtained from the TCGA and CGGA database, while single-cell sequencing data from GSE167960 were selected from the GEO database. Molecular characteristics of gliomas were revealed through normalization, consensus clustering analysis, immune scoring, cell infiltration analysis, and pathway analysis. TUBA1B, identified as a key gene through machine learning, was incorporated into a nomogram model using multivariate Cox regression. Its functions were validated through qRT-PCR, in vitro functional assays, and mouse xenograft models. All data analyses and statistics were performed using R software. Results Consensus clustering of the TCGA glioma dataset identified two aggrephagy subtypes (C1 and C2), with C2 showing worse survival outcomes and higher immune infiltration. TUBA1B was identified as an independent prognostic marker, with high expression associated with upregulated cell cycle pathways and alterations in the immune microenvironment. TUBA1B was shown to influence glioma cell proliferation, migration, invasion, and autophagy, impacting tumor progression and treatment response through intercellular communication and metabolic pathways. Conclusion The study demonstrates that high TUBA1B expression is closely associated with glioma malignancy and poor prognosis, making it a potential therapeutic target.",positive
doc_020,"Abstract Background Telemedicine is one of the major changes that clinicians have encountered over the past decade; in particular during the COVID-19 pandemic, televisits were rapidly implemented to guarantee patients assistance, with the intention of Health Care Providers (HCPs) to continue to use them beyond the pandemic. The aim of our national survey was to evaluate the current usage of telemedicine for IBD patients from their perspective, investigating patients impressions about telemedicine and factors affecting them through a Machine Learning (ML) analysis. Methods In March 2021, the Italian IBD patients association (AMICI Onlus) distributed to their members - through its mailing list and on social media platforms - an anonymous online questionnaire investigating the use of telemedicine. Socio-demographic and IBD characteristics were collected; the usage, patients satisfaction and trust of telemedicine were assessed through Likert scales. ML tools - Decision Trees (DT) and Random Forest (RF) - were applied to identify the determinants of patient s perceptions about telemedicine; the produced RF ranking displays two indicators: %IncMSE and IncNodePurity. Results Nine hundred and seventy-eight IBD patients (women 58.9%) from every Italian region completed the questionnaire. Among the respondents, 87 (8.9%) personally had a telemedicine experience; 153 reported that their Centre performed a telemedicine service during the COVID-19 pandemic (24.2% televisits, 39.2% e-mails, 24.8% phone-calls, 3.9 % dedicated website, 7.9% others). Overall, 707 (72.3%) would trust a telemedicine service, 760 (77.7%) would like to have it also with another HCP (e.g., nutritionist, psychologist) and 778/961 (81%) would like to use telemedicine in the future (17 did not answer to this specific question); 792 (81%) stated they thought useful to have the possibility to use telemedicine and 847 (86.6%) would like their Centre to offer them this facility. Considering this last question as the output at the DT, the variable which have been found to influence the most this patients willingness is patient s perception of the usefulness of telemedicine in treating their disease, since it represented the root of the tree explaining the results. The RF rankings confirmed that this variable influenced the most patients perception with the highest levels of %IncMSE and IncNodePurity(Figure 1). Conclusion The practice of telemedicine in the management of IBD patients has not been very relevant throughout Italy so far (less than 10%), but more than four every five respondents would like to use telemedicine. Machine learning analysis shows that the perceived usefulness of telemedicine service is the key point for patients who would like it was a part of usual clinical practice.",neutral
doc_021,"Purpose: This study aimed to investigate the performance of multiparametric magnetic resonance imaging (mpMRI) radiomic feature-based machine learning (ML) models in classifying the Gleason grade group (GG) of prostate cancer. Methods: In this retrospective study, a total of 203 patients with histopathologically confirmed prostate cancer who underwent mpMRI before prostate biopsy were included. After manual segmentation, radiomic features (RFs) were extracted from T2-weighted, apparent diffusion coefficient, and high b-value diffusion-weighted magnetic resonance imaging (DWMRI). Patients were split into training sets and testing sets according to a ratio of 8:2. A pipeline considering combinations of two feature selection (FS) methods and six ML classifiers was developed and evaluated. The performance of models was assessed using the accuracy, sensitivity, precision, F1-measure, and the area under curve (AUC). Results: On high b-value DWMRI-derived features, a combination of FS method recursive feature elimination (RFE) and classifier random forest achieved the highest performance for classification of prostate cancer into five GGs, with 97.0% accuracy, 98.0% sensitivity, 98.0% precision, and 97.0% F1-measure. The method also achieved an average AUC for GG of 98%. Conclusion: Preoperative mpMRI radiomic analysis based on ML, as a noninvasive approach, showed good performance for classification of prostate cancer into five GGs. Advances in Knowledge: Herein, radiomic models based on preoperative mpMRI and ML were developed to classify prostate cancer into 5 GGs. Our study provides evidence that analysis of quantitative RFs extracted from high b-value DWMRI images based on a combination of FS method RFE and classifier random forest can be applied for multiclass grading of prostate cancer with an accuracy of 97.0%.",positive
doc_022,"The prediction of cutting force in boring machining is crucial for understanding cutting deformation, tool wear, and work-piece quality. Physics-based models offer adaptability across various working conditions but struggle with complex dynamic scenarios and real-time effectiveness. Conversely, deep learning models, while effective in capturing nonlinear relationships, are highly data-dependent and may lose accuracy in unfamiliar conditions. This study proposes a physics-enhanced data-driven transformer (PhyDT) model for real-time cutting force prediction, integrating physics knowledge with deep learning. Specifically, the PhyDT leverage the information of both machining parameters and theoretical cutting force (calculated using a modified model based on Merchant theory and Johnson Cook constitutive model) into a transformer network with time-series sensory data as input. By incorporating these physics-based insights, the model aims to balance adaptability and accuracy across different machining conditions, offering improved performance in complex scenarios. We designed and built a heterogeneous data acquisition platform for boring processes to validate the PhyDT model under various experimental parameters. Results show improved prediction accuracy and generalization on an untrained workpiece compared to traditional data-driven methods. An ablation study shows that incorporating machining physics information and multiscale attention cascaded with convolutional neural networks improves performance, reducing mean absolute percentage error to 0.623% .",positive
doc_023,"Abstract. The demand for food production is increasing rapidly with a surge in the population. To cope with this increasing food demand, precise agricultural management is essential. The existing techniques involve extensive field surveys for agricultural land discrimination. To minimize the man-hour efforts and time required by these techniques, automated techniques for precise crop type mapping and monitoring have been used. These techniques utilize satellite imagery and advanced machine learning techniques for crop type mapping and monitoring. However, the performance of such techniques is affected by factors such as fragmented land parcels, seasonal variability, and inconsistent field-level observations. To overcome these issues, this study attempts to classify grape and non-grape crops and monitor their phenological stages in the study area in Pune district, India, using Sentinel-2 satellite imagery and deep learning (DL) segmentation techniques: U-Net and DeepLabV3. Further, Sentinel- 1C SAR imagery (VV and VH polarization) for the years 2016 to 2024 was utilized to train and evaluate a long short-term memory network (LSTM) model with an aim to analyze the temporal behavior of the grape crop from pruning to harvesting stage with emphasis on growth stages like leaf set, fruit set, and ripening. The experimental results demonstrate that U-Net outperforms DeepLabV3 (F1-score: 0.96; mAP: 0.95) in grape crop classification. The LSTM model showed performance (F1-score 0.82) for phenological stage identification. This study can help agricultural stakeholders in effective and large-scale crop discrimination with minimum human intervention. It has the potential to reveal grape distribution and development stages in a faster time.",positive
doc_024,"Kidney cancer is known as one of the deadliest cancers, with high morbidity and mortality rate. Survivability from cancers is always the patient's first concern. Thus, methods need to be devised to find the survivability rate. To achieve this goal, machine learning models are effective at providing aid to clinicians because of their accuracy. In this research paper SEER (Surveillance, Epidemiology, and End Results) database was used to provide information on cancer statistics. Three different approaches were used in this paper. The first experiment used regression models, the second included multi-class classification models to predict the survivability rate, and the third used multi-tier classification. In the end, we achieved 71% accuracy through our models to predict the survivability of a patient",positive
doc_025,"Introduction To analyze public perceptions of active aging in China on mainstream social media platforms to determine whether the 14th Five Year Plan for the Development of the Aging Career and Older Adult Care System issued by the CPC in 2022 has fully addressed public needs. Methods The original tweets posted on Weibo between January 1, 2020, and June 30, 2022, containing the words aging or old age were extracted. A bidirectional encoder representation from transformers (BERT)-based model was used to generate themes related to this perception. A qualitative thematic analysis and an independent review of the theme labels were conducted by the researchers. Results The findings indicate that public perceptions revolved around four themes: (1) health prevention and protection, (2) convenient living environments, (3) cognitive health and social integration, and (4) protecting the rights and interests of the older adult. Discussion Our study found that although the Plan aligns with most of these themes, it lacks clear planning for financial security and marital life.",neutral
doc_026,"Phrase search encryption, as an important technique in cloud-based IoT system, allows users to retrieve encrypted IoT data that contains a set of consecutive keywords. It plays an important role in cloud-based e-healthcare diagnosis system, machine learning applications for cloud-based IoT system, etc. However, to the best of our knowledge, the existing phrase search encryption schemes cannot achieve the complete verification for search results. They either cannot verify whether the returned files correctly containing the query phrase or cannot verify whether all files containing this query phrase are returned. Result verification is very important for some cloud-based IoT applications. If the search result is incorrect in the cloud-based e-healthcare diagnosis system, it will lead to misdiagnosis even endanger the patient s life. In order to deal with this problem, this article explores how to achieve verifiable phrase search over encrypted cloud-based IoT data. Specifically, we design novel look-up tables which can be utilized to determine and verify the position relationship among keywords. Meanwhile, we adopt a two-phase query strategy. In the first query phase, the data user can know the identifiers of files containing the keywords in the query phrase, and generate the search trapdoor based on these identifiers for the next phase. In the second query phase, the data user can obtain the verification information to check whether all files containing the query phrase are correctly returned. We present the security analysis of our scheme and conduct extensive experiments. The results prove the high security and efficiency of our proposed scheme.",positive
doc_027,Traffic systems are filled with essential traffic control equipment and can cause massive infrastructural damage and driver safety if hacked. We explore a machine learning method to detect real-time lock picking to thwart unauthorized access to the electronics. We gather accelerometer and gyroscopic data to train a decision tree model for detecting lock picking. Analysis reveals that a standard deviation feature for only two accelerometer axes is adequate for achieving robust performance. We deployed an real-time decision tree model to an offsite test cabinet that achieves an accuracy of over 95 %.,positive
doc_028,"Tailored disaster preparedness interventions may be more effective and equitable, yet little is known about specific factors associated with disaster household preparedness for older adults and/or those with African American/Black identities. This study aims to ascertain differences in the importance features of machine learning models of household disaster preparedness for four groups to inform culturally tailored intervention recommendations for nursing practice. A machine learning model was developed and tested by combining data from the 2018, 2019, and 2020 Federal Emergency Management Agency National Household Survey. The primary outcome variable was a composite readiness score. A total of 252 variables from 15,048 participants were included. Over 10% of the sample self-identified as African American/Black and 30.3% reported being 65 years of age or older. Importance features varied regarding financial and insurance preparedness, information seeking and transportation between groups. These results reiterate the need for targeted interventions to support financial resilience and equitable resource access. Notably, older adults with Black racial identities were the only group where TV, TV news, and the Weather Channel was a priority feature for household disaster preparedness. Additionally, reliance on public transportation was most important among older adults with Black racial identities, highlighting priority needs for equity in disaster preparedness and policy.",neutral
doc_029,"This cross-sectional study aims to detect Diabetic Retinopathy (DR) in patients who have had retinal scans and ophthalmological exams. The research makes use of tailored retinal images together with the OPF (Optimum-Path Forest) and RBM (Restricted Boltzmann Machine) models to categorize images according to the presence or absence of DR. In this work, features were extracted from the retinal images using both the RBM and OPF models. In particular, after a thorough system training phase, RBM was able to extract between 500 and 1000 features from the images. The study included fifteen distinct trial series, each with thirty cycles of repetition. The research comprised 122 eyes, or 73 diabetic patients, with a gender distribution that was reasonably balanced and an average age of 59.7 years. Remarkably, the RBM-1000 model stood out as the top performer, with the highest overall accuracy of 89.47% in diagnosis. In terms of specificity, the RBM-1000 and OPF-1000 models surpassed the competition, correctly categorizing all images free of DR symptoms. These findings highlight the potential of machine learning, particularly the RBM model, for self-identifying illnesses. The potential of machine learning models in particular, RBM and OPF to automate the diagnosis of diabetic retinopathy is demonstrated by this work. The results show how well the RBM model diagnoses, how sensitive it is, and how well it can be applied for efficient DR screening and diagnosis. This information may be used to improve the effectiveness of systems that identify retinal illnesses",positive
doc_030,"Artificial Intelligence is making a significant transformation in human lives. Its application in the medical and healthcare field has been also observed making an impact and improving overall outcomes. There has been a quest for similar processes in mental health due to the lack of observable changes in the areas of suicide prevention. In the last five years, there has been an emerging body of empirical research applying the technology of artificial intelligence (AI) and machine learning (ML) in mental health. To review the clinical applicability of the AI/ML-based tools in suicide prevention. The compelling question of predicting suicidality has been the focus of this research. We performed a broad literature search and then identified 36 articles relevant to meet the objectives of this review. We review the available evidence and provide a brief overview of the advances in this field. In the last five years, there has been more evidence supporting the implementation of these algorithms in clinical practice. Its current clinical utility is limited to using electronic health records and could be highly effective in conjunction with existing tools for suicide prevention. Other potential sources of relevant data include smart devices and social network sites. There are some serious questions about data privacy and ethics which need more attention while developing these new modalities in suicide research.",positive
doc_031,"Motivation Missense variants play a crucial role in cancer development, and distinguishing between those that frequently occur in cancer genomes and those that are rare may provide valuable insights into important functional mechanisms and consequences. Specifically, if common variants confer growth advantages, they may have undergone positive selection across different patients due to similar selection pressures. Moreover, studies have demonstrated the significance of rare mutations that arise as resistance mechanisms in response to drug treatment. This highlights the importance of understanding the role of both recurrent and rare variants in cancer. In addition to this, most existing tools for variant prediction focus on distinguishing variants found in normal and disease populations, often without considering the specific disease contexts in which these variants arise. Instead, they typically build predictors that generalise across all diseases. Here, we introduce CanDrivR-CS, a set of cancer-specific gradient boosting models designed to distinguish between rare and recurrent cancer variants. Results We curated missense variant data from the International Cancer Genome Consortium (ICGC). Cancer-type-specific models significantly outperformed a baseline pan-cancer model, achieving a maximum leave-one-group-out cross-validation (LOGO-CV) F1 score of up to 90% for CanDrivRSKCM (Skin Cutaneous Melanoma) and 89% for CanDrivR-SKCA (Skin Adenocarcinoma), compared to 79.2% for the baseline model. Notably, DNA shape properties consistently ranked among the top features for distinguishing recurrent and rare variants across all cancers. Specifically, recurrent missense variants frequently occurred in DNA bends and rolls, potentially implicating regions prone to DNA replication errors and acting as mutational hotspots. Availability and Implementation All training and test data, and Python code are available in our CanDrivR-CS GitHub repository: https://github.com/amyfrancis97/CanDrivR-CS.",positive
